dictyBase ID	CRC64	Length	Database	Domain ID	Domain Name	Start	End	Score	Status	Date	InterPro ID	InterPro Name
DDB0167147	5D1F0B92FE6D17C7	57	SignalP	SignalP-NN(euk)	signal-peptide	0	25		?	26-MAY-12		
DDB0167158	3A1B8EB6459CC3C0	127	TMHMM	tmhmm	transmembrane_regions	73	94		?	12-MAY-12		
DDB0167522	6FA9653FFC85DD42	768	PFAM	PF09746	Membralin	183	390	  1.3E-05	T	10-JUN-12	IPR019144	Membralin
DDB0167522	6FA9653FFC85DD42	768	SignalP	SignalP-NN(euk)	signal-peptide	0	42		?	10-JUN-12		
DDB0167522	6FA9653FFC85DD42	768	TMHMM	tmhmm	transmembrane_regions	378	399		?	10-JUN-12		
DDB0167522	6FA9653FFC85DD42	768	TMHMM	tmhmm	transmembrane_regions	521	540		?	10-JUN-12		
DDB0167522	6FA9653FFC85DD42	768	TMHMM	tmhmm	transmembrane_regions	495	516		?	10-JUN-12		
DDB0167522	6FA9653FFC85DD42	768	TMHMM	tmhmm	transmembrane_regions	446	467		?	10-JUN-12		
DDB0167522	6FA9653FFC85DD42	768	TMHMM	tmhmm	transmembrane_regions	25	46		?	10-JUN-12		
DDB0167522	6FA9653FFC85DD42	768	TMHMM	tmhmm	transmembrane_regions	544	567		?	10-JUN-12		
DDB0167522	6FA9653FFC85DD42	768	TMHMM	tmhmm	transmembrane_regions	572	593		?	10-JUN-12		
DDB0167943	AAB768E84D45B773	184	PFAM	PF11912	DUF3430	0	172	  4.9E-27	T	26-MAY-12	IPR021837	Protein of unknown function DUF3430
DDB0168900	EDBCBB84AC920B24	77	PANTHER	PTHR14187	FAMILY NOT NAMED	0	76	  1.1E-57	T	10-JUN-12		
DDB0168900	EDBCBB84AC920B24	77	PANTHER	PTHR14187:SF8	PUTATIVE UNCHARACTERIZED PROTEIN	0	76	  1.1E-57	T	10-JUN-12		
DDB0168902	34ADB42B1C9C4EE4	207	GENE3D	G3DSA:3.30.420.40	G3DSA:3.30.420.40	125	197	  4.9E-16	T	26-MAY-12		
DDB0168902	34ADB42B1C9C4EE4	207	TMHMM	tmhmm	transmembrane_regions	4	23		?	26-MAY-12		
DDB0168902	34ADB42B1C9C4EE4	207	SSF	SSF53067	Actin-like ATPase domain	3	198	  4.7E-17	T	26-MAY-12		
DDB0168902	34ADB42B1C9C4EE4	207	PANTHER	PTHR14934	FAMILY NOT NAMED	0	206	   .0E+00	T	26-MAY-12		
DDB0168915	D28A5F7937A68791	194	TMHMM	tmhmm	transmembrane_regions	117	138		?	26-MAY-12		
